Value,Options,Label
To be created,Created,1. Created
Canals,Enhanced,3. Enhanced
Culvert,Enhanced,3. Enhanced
Ditches,Enhanced,3. Enhanced
Other rivers and streams,Enhanced,3. Enhanced
Priority habitat,Enhanced,3. Enhanced
Canals,Created,4. Created
Culvert,Created,4. Created
Ditches,Created,4. Created
Other rivers and streams,Created,4. Created
Priority habitat,Created,4. Created
Canals,Retained,2. Retained
Culvert,Retained,2. Retained
Ditches,Retained,2. Retained
Other rivers and streams,Retained,2. Retained
Priority habitat,Retained,2. Retained
